ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
SECZ,2026-09-18,10.86,21.61,21240703,1875050,11.33,14034955.0,False,False,2026-08-12,37.0
TTRX,2026-09-18,14.94,8.1,929716,104770,8.87,1277695.0,False,False,2026-08-12,37.0
OPI,2026-09-18,17.62,6.4,544847,62120,8.77,1068153.0,False,False,2025-10-29,324.0
DSP,2026-09-18,11.88,18.56,2593534,298765,8.68,3518658.0,False,False,2026-08-10,39.0
BRR,2026-09-18,3.76,9.3,13498556,1579020,8.55,4361904.0,False,,,
FAC,2026-09-18,6.25,10.62,2414854,290090,8.32,1481591.0,False,False,2026-08-11,38.0
CSHR,2026-09-18,5.85,13.37,2138698,262390,8.15,1462474.0,False,False,2026-11-04,47.0
PROK,2026-09-18,1.91,6.11,9449347,1180120,8.01,2109319.0,False,False,2026-08-10,39.0
FRNM,2026-09-18,17.11,5.03,6047297,773045,7.82,11644262.0,False,,,
OLOX,2026-09-18,1.03,22.33,25319756,3342720,7.57,4768362.0,False,False,2021-05-20,1947.0
ALMR,2026-09-18,34.85,8.87,2027452,313195,6.47,9666950.0,False,False,2026-08-10,39.0
ZTG,2026-09-18,1.81,50.83,58701407,9135930,6.43,9427028.0,False,,,
BRVE,2026-09-18,29.2,5.38,2017684,315880,6.39,8602769.0,False,False,2026-09-08,10.0
BTGO,2026-09-18,7.56,11.83,11895234,1871660,6.36,13277776.0,False,False,2026-08-12,37.0
CNTN,2026-09-18,2.3,9.52,3880092,658340,5.89,1433783.0,False,,,
PS,2026-09-18,49.83,13.69,2317869,432905,5.35,17513694.0,False,False,2026-08-12,37.0
GEMI,2026-09-18,5.81,31.15,15258999,2866365,5.32,12668524.0,False,False,2026-08-13,36.0
CEPL,2026-09-18,6.69,5.35,2077711,431130,4.82,2560333.0,False,False,2026-08-12,37.0
QMLS,2026-09-18,7.3,20.26,1616473,337930,4.78,2025120.0,False,False,2026-08-25,24.0
DFDV,2026-09-18,6.06,21.2,9026247,2162735,4.17,10850484.0,False,False,2026-08-13,36.0
THM,2026-09-18,2.6,7.0,2978311,715465,4.16,1822068.0,False,False,2026-11-06,49.0
NRGV,2026-09-18,4.49,6.15,13931083,3423535,4.07,13366439.0,False,False,2026-08-11,38.0
ENGS,2026-09-18,2.82,5.62,5343681,1327830,4.02,3702820.0,False,,,
CAMP,2026-09-18,4.24,5.21,1043108,271605,3.84,1155481.0,False,False,2026-08-13,36.0
AMTX,2026-09-18,2.16,14.89,2671122,712215,3.75,1364663.0,False,False,2026-08-06,43.0
OBIO,2026-09-18,6.08,5.19,1137342,315570,3.6,1729392.0,False,False,2026-08-10,39.0
TONX,2026-09-18,3.39,9.35,1179468,332275,3.55,1055818.0,False,False,2026-11-11,54.0
CHRS,2026-09-18,1.35,9.76,3120577,913680,3.42,1237552.0,False,False,2026-08-05,44.0
DGXX,2026-09-18,4.09,6.51,6632208,1970130,3.37,7517312.0,False,False,2026-08-14,35.0
FIGR,2026-09-18,35.49,5.28,13791644,4152025,3.32,151177679.0,False,False,2026-08-13,36.0
INSP,2026-09-18,76.78,5.55,2067836,648815,3.19,43604100.0,False,False,2026-11-02,45.0
