ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
WHLR,2026-09-23,5.44,190.91,92825700,2342105,39.63,4945244.0,False,False,2026-11-12,50.0
BENF,2026-09-23,2.9,439.03,295021100,12646320,23.33,9607179.0,False,False,2026-08-14,40.0
NNBR,2026-09-23,3.86,14.54,9712400,1274425,7.62,4392241.0,False,False,2026-10-28,35.0
WLDS,2026-09-23,1.64,5.81,3793600,651685,5.82,1422830.0,False,,,
FSLY,2026-09-23,29.65,13.69,30280000,5822560,5.2,138531024.0,False,False,2026-11-04,42.0
VBIO,2026-09-23,2.73,14.71,2109200,409759,5.15,1478073.0,False,False,2023-11-14,1044.0
DCOY,2026-09-23,3.85,24.19,26772500,5295345,5.06,16404601.0,False,False,2026-05-08,138.0
WAFU,2026-09-23,1.6,12.68,7164200,1664815,4.3,2349518.0,False,,,
FIRY,2026-09-23,13.1,22.43,417300,114720,3.64,1144410.0,False,False,2026-08-13,41.0
EGHT,2026-09-23,2.29,22.46,4694500,1320350,3.56,2474601.0,False,False,2026-11-03,41.0
SQFT,2026-09-23,1.37,9.6,3456900,970285,3.56,1604676.0,False,False,2023-03-28,1275.0
MAZE,2026-09-23,28.09,25.46,1704100,528100,3.23,13353828.0,False,False,2026-11-05,43.0
ACMR,2026-09-23,80.67,10.86,2819400,896720,3.14,64274064.0,False,False,2026-11-04,42.0
CBRL,2026-09-23,47.52,5.91,2835300,921860,3.08,46714130.0,False,True,2026-09-23,0.0
