ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
RETO,2026-09-15,2.8,675.62,219087000,976130,224.44,1387523.0,False,,,
RLGT,2026-09-15,9.81,19.49,3166789,171285,18.49,1438011.0,False,True,2026-09-14,1.0
HQ,2026-09-15,13.2,27.66,2517620,350820,7.18,5486980.0,False,False,2026-08-04,42.0
FPS,2026-09-15,31.36,9.5,32364825,5657415,5.72,179263527.0,False,True,2026-09-15,0.0
PSNYW,2026-09-15,4.68,17.59,2451725,610145,4.02,2870290.0,False,,,
SDGR,2026-09-15,23.25,12.05,3745892,984945,3.8,19515257.0,False,False,2026-08-05,41.0
PBF,2026-09-15,74.72,6.14,9284651,2848440,3.26,208910212.0,False,False,2026-10-29,44.0
