ticker,pattern_type,entry_price,stop_price,last_close,ribbon_width_pct,squeeze_days_ago,expanding,breakout,pole_gain_pct,pole_len,flag_len,retracement_pct,volume_ratio,n_contractions,contraction_pcts,first_contraction_pct,final_contraction_pct,volume_dryup_ratio,base_len,extension_pct,risk_pct,is_lre,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_yoy_q3_pct,eps_yoy_q4_pct,eps_qoq_q1_pct,eps_qoq_q2_pct,eps_qoq_q3_pct,eps_qoq_q4_pct,eps_min_yoy_pct,eps_full_history_available,days_to_earnings,revenue_yoy_q1_pct,revenue_yoy_q2_pct,revenue_yoy_q3_pct,revenue_yoy_q4_pct,revenue_qoq_q1_pct,revenue_qoq_q2_pct,revenue_qoq_q3_pct,revenue_qoq_q4_pct,revenue_min_yoy_pct,revenue_full_history_available,passes_growth
SWVL,bull_flag,8.47599983215332,5.309999942779541,5.510000228881836,,,,False,394.7735322469864,14.0,3.0,31.597528224298816,0.11201183170019398,,,,,,,-34.992917201580156,3.629769106976638,False,,,,,,,,,,False,,,,,,,,,,,False,False
RFAI,bull_flag,36.0,25.0,29.209999084472656,,,,False,220.00000000000003,15.0,3.0,31.818181818181817,0.07687507799825284,,,,,,,-18.861113654242622,14.412869621452993,False,,,,,,,,,,False,,,,,,,,,,,False,False
MRNA,bull_flag,156.4149932861328,130.3800048828125,146.69000244140625,,,,False,194.89417012841352,13.0,13.0,27.10297858187604,0.44591401666335384,,,,,,,-6.217428802964213,11.118683814262397,False,,,,-1800.0,,,,,-1800.0,False,50.43574741886574,2.1126760563380254,260.18518518518516,-29.81366459627329,-45.43501611170784,-62.724935732647815,-42.62536873156342,-33.26771653543307,615.4929577464789,-45.43501611170784,True,False
IGR,bull_flag,12.920000076293945,12.233699798583984,12.359999656677246,,,,False,183.15096486482395,6.0,4.0,8.438468717970512,0.8378681674446619,,,,,,,-4.334368547289771,1.0218435404650736,False,,,,,,,,,,False,,,,,,,,,,,False,False
TJGC,bull_flag,12.380000114440918,10.399999618530273,11.529999732971191,,,,False,162.09475384026314,15.0,4.0,1.6923170823317308,0.7721295425937792,,,,,,,-6.865915780390222,9.800521601137328,False,,,,,,,,,,False,,,,,,,,,,,False,False
CAPR,bull_flag,11.0,8.180000305175781,8.8100004196167,,,,False,161.29871867040458,13.0,11.0,30.27375134518362,0.2534125969190358,,,,,,,-19.909087094393644,7.150965771104103,False,,,,,,,,,,False,55.769919502557876,-7.921690517003965,-63.4382475774409,1.3777014586210834,64.29114312270147,392.14278829275366,-43.0523150556549,-19.06383632603793,-59.40733891022807,-63.4382475774409,True,False
OABI,bull_flag,5.429999828338623,3.890000104904175,4.480000019073486,,,,False,140.3061197182379,15.0,14.0,29.81817939064719,0.6648136638241802,,,,,,,-17.49539298891288,13.169640885209862,False,,,,,,,,,,False,49.768926886979166,244.23915832691816,247.30380356283098,-22.473158089596446,-46.332694151486095,-7.014625355236714,72.24212034383955,274.09557838320677,-42.54554785732615,-46.332694151486095,True,False
RCEL,bull_flag,11.390000343322754,9.600000381469727,10.1899995803833,,,,False,136.91276621142404,15.0,12.0,16.176465890445424,0.28619218569973265,,,,,,,-10.535563887343855,5.789982563388694,False,,,,,,,,,,False,50.768701598738424,17.90299572039944,4.0327421555252485,-4.288381287063469,-12.875116015262456,12.72031053294167,9.368366703000408,3.1603243179262552,-7.2917809722374605,-12.875116015262456,True,False
ABCL,bull_flag,12.579999923706055,10.319999694824219,11.170000076293945,,,,False,111.14864592747242,14.0,13.0,33.13070411022041,0.3223441239913671,,,,,,,-11.208265945654512,7.60967211874671,False,,,,,,,,,,False,50.77018034236111,-76.29360805431983,96.3400236127509,788.373935432759,37.6210235131397,-51.2928442573662,-81.46207696080617,400.88218872138464,-47.58253336455163,-76.29360805431983,True,False
QMCO,bull_flag,25.75,20.479999542236328,22.829999923706055,,,,False,110.70074920326203,14.0,15.0,15.141150738224713,0.32432117681714073,,,,,,,-11.339806121529884,10.293475205094284,False,,,,,,,,,,False,54.768717620879634,25.692996920013698,27.310121933303954,8.59297653019626,-12.709127856804836,3.601559094289297,4.569222106025261,18.92848600813202,-2.4437669165914833,-12.709127856804836,True,False
