ticker,pattern_type,entry_price,stop_price,last_close,ribbon_width_pct,squeeze_days_ago,expanding,breakout,n_contractions,contraction_pcts,first_contraction_pct,final_contraction_pct,volume_dryup_ratio,base_len,pole_gain_pct,pole_len,flag_len,retracement_pct,volume_ratio,extension_pct,risk_pct,is_lre,eps_min_yoy_pct,eps_full_history_available,days_to_earnings,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_yoy_q3_pct,eps_yoy_q4_pct,eps_qoq_q1_pct,eps_qoq_q2_pct,eps_qoq_q3_pct,eps_qoq_q4_pct,revenue_yoy_q1_pct,revenue_yoy_q2_pct,revenue_yoy_q3_pct,revenue_yoy_q4_pct,revenue_qoq_q1_pct,revenue_qoq_q2_pct,revenue_qoq_q3_pct,revenue_qoq_q4_pct,revenue_min_yoy_pct,revenue_full_history_available,passes_growth
OPTT,bull_flag,2.5999999046325684,1.75,2.109999895095825,,,,False,,,,,,,1505.8823472694542,7.0,4.0,38.28125048657966,0.04711793723087273,-18.846154904224502,17.061607250908224,False,,False,83.82029250032407,,,,,-211.30434782608694,,,,-38.01652892561983,22.672064777327925,162.5,25.581395348837212,-0.990099009900991,-57.56302521008403,-5.555555555555558,56.19834710743801,-38.01652892561983,True,False
SWVL,bull_flag,5.989999771118164,3.880000114440918,4.269999980926514,,,,False,,,,,,,277.39726609015094,15.0,4.0,40.24691451051903,0.06215490316470383,-28.714521801568864,9.13348637535527,False,,False,,,,,,,,,,,,,,,,,,,False,False
INDP,bull_flag,4.090000152587891,2.9000000953674316,3.549999952316284,,,,False,,,,,,,232.42009221899758,14.0,3.0,29.076620328213842,0.6642842041924835,-13.202938389377048,18.309855371258365,False,-101.90114068441063,False,,,,-101.90114068441063,,,,,,,,,,,,,,,False,False
RFAI,bull_flag,54.70000076293945,25.0,40.5,,,,False,,,,,,,220.00000000000003,15.0,7.0,31.818181818181817,0.09670000534845162,-25.95978165426332,38.2716049382716,False,,False,,,,,,,,,,,,,,,,,,,False,False
IGR,bull_flag,12.920000076293945,12.100000381469727,12.210000038146973,,,,False,,,,,,,191.1669081152696,14.0,8.0,9.887213411541733,0.7917898798303488,-5.495356299956257,0.9008980862701126,False,,False,,,,,,,,,,,,,,,,,,,False,False
MRNA,bull_flag,161.9600067138672,130.3800048828125,154.0399932861328,,,,False,,,,,,,165.07612821122288,15.0,15.0,13.935439072452386,0.4232010379649414,-4.890104408137354,15.35963998607254,False,-1800.0,False,44.48704532766204,,,,-1800.0,,,,,2.1126760563380254,260.18518518518516,-29.81366459627329,-45.43501611170784,-62.724935732647815,-42.62536873156342,-33.26771653543307,615.4929577464789,-45.43501611170784,True,False
CAPR,bull_flag,11.0,8.180000305175781,9.0600004196167,,,,False,,,,,,,161.29871867040458,13.0,15.0,30.27375134518362,0.2387954192180003,-17.63635982166637,9.713025095843738,False,,False,49.82074022446759,,,,,,,,,-7.921690517003965,-63.4382475774409,1.3777014586210834,64.29114312270147,392.14278829275366,-43.0523150556549,-19.06383632603793,-59.40733891022807,-63.4382475774409,True,False
RCEL,bull_flag,11.390000343322754,9.600000381469727,11.020000457763672,,,,False,,,,,,,117.26315146998357,15.0,15.0,12.92637976306414,0.29609732360097324,-3.248462461864541,12.885662589002386,False,,False,44.82020757480324,,,,,,,,,17.90299572039944,4.0327421555252485,-4.288381287063469,-12.875116015262456,12.72031053294167,9.368366703000408,3.1603243179262552,-7.2917809722374605,-12.875116015262456,True,False
QMCO,bull_flag,26.389999389648438,21.719999313354492,25.09000015258789,,,,False,,,,,,,106.5365065807982,15.0,13.0,20.796817296293078,0.3662120368823858,-4.926105597298633,13.431649337338891,False,,False,48.820224276782405,,,,,,,,,25.692996920013698,27.310121933303954,8.59297653019626,-12.709127856804836,3.601559094289297,4.569222106025261,18.92848600813202,-2.4437669165914833,-12.709127856804836,True,False
OABI,bull_flag,5.429999828338623,3.890000104904175,4.46999979019165,,,,False,,,,,,,105.80357651283241,15.0,15.0,30.379746453423223,0.587657575855346,-17.67955927248522,12.975385067358319,False,,False,43.820327234988426,,,,,,,,,244.23915832691816,247.30380356283098,-22.473158089596446,-46.332694151486095,-7.014625355236714,72.24212034383955,274.09557838320677,-42.54554785732615,-46.332694151486095,True,False
