ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
SECZ,2026-09-18,10.86,21.61,21266100,1875050,11.34,14034955.0,False,False,2026-08-12,37.0
TTRX,2026-09-18,14.94,8.1,929900,104770,8.88,1277695.0,False,False,2026-08-12,37.0
DSP,2026-09-18,11.88,18.56,2594200,298765,8.68,3518658.0,False,False,2026-08-10,39.0
BRR,2026-09-18,3.76,9.3,13504800,1579020,8.55,4361904.0,False,,,
OLOX,2026-09-18,1.03,22.33,28186100,3342720,8.43,4768362.0,False,False,2021-05-20,1947.0
FAC,2026-09-18,6.25,10.62,2415900,290090,8.33,1481591.0,False,False,2026-08-11,38.0
CSHR,2026-09-18,5.85,13.37,2138700,262390,8.15,1462474.0,False,False,2026-11-04,47.0
PROK,2026-09-18,1.91,6.11,9450400,1180120,8.01,2109319.0,False,False,2026-08-10,39.0
FRNM,2026-09-18,17.11,5.03,6047300,773045,7.82,11644262.0,False,,,
ALMR,2026-09-18,34.85,8.87,2027500,313195,6.47,9666950.0,False,False,2026-08-10,39.0
ZTG,2026-09-18,1.81,50.83,58906600,9135930,6.45,9427028.0,False,,,
BRVE,2026-09-18,29.2,5.38,2017800,315880,6.39,8602769.0,False,False,2026-09-08,10.0
BTGO,2026-09-18,7.56,11.83,11900700,1871660,6.36,13277776.0,False,False,2026-08-12,37.0
CNTN,2026-09-18,2.3,9.52,3881600,658340,5.9,1433783.0,False,,,
PS,2026-09-18,49.83,13.69,2320200,432905,5.36,17513694.0,False,False,2026-08-12,37.0
GEMI,2026-09-18,5.81,31.15,15336400,2866365,5.35,12668524.0,False,False,2026-08-13,36.0
CEPL,2026-09-18,6.69,5.35,2078700,431130,4.82,2560333.0,False,False,2026-08-12,37.0
QMLS,2026-09-18,7.3,20.26,1618200,337930,4.79,2025120.0,False,False,2026-08-25,24.0
DFDV,2026-09-18,6.06,21.2,9038300,2162735,4.18,10850484.0,False,False,2026-08-13,36.0
THM,2026-09-18,2.6,7.0,2983800,715465,4.17,1822068.0,False,False,2026-11-06,49.0
NRGV,2026-09-18,4.49,6.15,13960100,3423535,4.08,13366439.0,False,False,2026-08-11,38.0
ENGS,2026-09-18,2.82,5.62,5343700,1327830,4.02,3702820.0,False,,,
CAMP,2026-09-18,4.24,5.21,1043100,271605,3.84,1155481.0,False,False,2026-08-13,36.0
AMTX,2026-09-18,2.16,14.89,2673700,712215,3.75,1364663.0,False,False,2026-08-06,43.0
OBIO,2026-09-18,6.08,5.19,1137400,315570,3.6,1729392.0,False,False,2026-08-10,39.0
TONX,2026-09-18,3.39,9.35,1179500,332275,3.55,1055818.0,False,False,2026-11-11,54.0
CHRS,2026-09-18,1.35,9.76,3121100,913680,3.42,1237552.0,False,False,2026-08-05,44.0
DGXX,2026-09-18,4.09,6.51,6679300,1970130,3.39,7517312.0,False,False,2026-08-14,35.0
FIGR,2026-09-18,35.49,5.28,13799600,4152025,3.32,151177679.0,False,False,2026-08-13,36.0
INSP,2026-09-18,76.78,5.55,2126800,648815,3.28,43604100.0,False,False,2026-11-02,45.0
