ticker,pattern_type,entry_price,stop_price,last_close,n_contractions,contraction_pcts,first_contraction_pct,final_contraction_pct,volume_dryup_ratio,base_len,breakout,ribbon_width_pct,squeeze_days_ago,expanding,pole_gain_pct,pole_len,flag_len,retracement_pct,volume_ratio,extension_pct,risk_pct,is_lre,eps_min_yoy_pct,eps_full_history_available,days_to_earnings,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_yoy_q3_pct,eps_yoy_q4_pct,eps_qoq_q1_pct,eps_qoq_q2_pct,eps_qoq_q3_pct,eps_qoq_q4_pct,revenue_yoy_q1_pct,revenue_yoy_q2_pct,revenue_yoy_q3_pct,revenue_yoy_q4_pct,revenue_qoq_q1_pct,revenue_qoq_q2_pct,revenue_qoq_q3_pct,revenue_qoq_q4_pct,revenue_min_yoy_pct,revenue_full_history_available,passes_growth
RFAI,bull_flag,45.4900016784668,28.0,30.100000381469727,,,,,,,False,,,,362.97092032446284,10.0,8.0,44.51363894335483,0.044096305283943565,-33.8316129460204,6.976745364968622,False,,False,,,,,,,,,,,,,,,,,,,False,False
XHLD,bull_flag,13.84000015258789,8.800000190734863,12.529999732971191,,,,,,,False,,,,360.3960533934872,15.0,9.0,6.868131670193494,0.39854437434614537,-9.465320846631256,29.768552447940454,False,,False,,,,,,,,,,-34.49820788530465,15.426251691474956,-13.691931540342296,1.495327102803734,-14.302461899179363,20.8215297450425,30.018416206261513,-51.344086021505376,-34.49820788530465,True,False
SWVL,bull_flag,8.47599983215332,6.25,7.114999771118164,,,,,,,False,,,,356.9395165142626,15.0,3.0,3.389831958880759,0.10698504560747948,-16.057103444861625,12.157411088464789,False,,False,,,,,,,,,,,,,,,,,,,False,False
MRNA,bull_flag,156.4149932861328,130.3800048828125,143.97000122070312,,,,,,,False,,,,194.89417012841352,13.0,12.0,27.10297858187604,0.4584187826452279,-7.956393312413367,9.439463931834961,False,-1800.0,False,53.81427743606482,,,,-1800.0,,,,,2.1126760563380254,260.18518518518516,-29.81366459627329,-45.43501611170784,-62.724935732647815,-42.62536873156342,-33.26771653543307,615.4929577464789,-45.43501611170784,True,False
TJGC,bull_flag,11.5,10.399999618530273,11.1899995803833,,,,,,,False,,,,162.09475384026314,15.0,3.0,1.6923170823317308,0.8258703554929621,-2.6956558227539062,7.05987481213084,False,,False,,,,,,,,,,,,,,,,,,,False,False
CAPR,bull_flag,11.0,8.180000305175781,8.369999885559082,,,,,,,False,,,,161.29871867040458,13.0,10.0,30.27375134518362,0.2590999581344397,-23.90909194946289,2.2700069651268526,False,,False,59.148244139201395,,,,,,,,,-7.921690517003965,-63.4382475774409,1.3777014586210834,64.29114312270147,392.14278829275366,-43.0523150556549,-19.06383632603793,-59.40733891022807,-63.4382475774409,True,False
REPL,bull_flag,16.329999923706055,12.399999618530273,12.920000076293945,,,,,,,False,,,,159.7042622368229,15.0,15.0,19.097228086104867,0.31152477637861586,-20.881811777977145,4.024771321153367,False,,False,53.8139736183912,,,,,,,,,,,,,,,,,,False,False
OABI,bull_flag,5.429999828338623,3.890000104904175,4.070000171661377,,,,,,,False,,,,140.3061197182379,15.0,13.0,29.81817939064719,0.6670198260084643,-25.046034984744285,4.422605876297199,False,,False,53.14749752694444,,,,,,,,,244.23915832691816,247.30380356283098,-22.473158089596446,-46.332694151486095,-7.014625355236714,72.24212034383955,274.09557838320677,-42.54554785732615,-46.332694151486095,True,False
RCEL,bull_flag,11.390000343322754,9.600000381469727,9.880000114440918,,,,,,,False,,,,136.91276621142404,15.0,11.0,16.176465890445424,0.27985018944701856,-13.25724480567777,2.834005361618721,False,,False,54.14730463995371,,,,,,,,,17.90299572039944,4.0327421555252485,-4.288381287063469,-12.875116015262456,12.72031053294167,9.368366703000408,3.1603243179262552,-7.2917809722374605,-12.875116015262456,True,False
IOVA,bull_flag,9.300000190734863,7.659999847412109,8.600000381469727,,,,,,,False,,,,120.8845059445892,14.0,15.0,27.032520975263875,0.5403807660888896,-7.526879515147885,10.93023828327985,False,,False,53.81442725540509,,,,,,,,,65.6541900186816,44.81793852891087,17.744999592911228,15.19938519340791,39.03541929161416,-17.679870002650656,28.635386553998956,12.515012009607695,15.19938519340791,True,False
