ticker,pattern_type,entry_price,stop_price,last_close,ribbon_width_pct,squeeze_days_ago,expanding,breakout,n_contractions,contraction_pcts,first_contraction_pct,final_contraction_pct,volume_dryup_ratio,base_len,pole_gain_pct,pole_len,flag_len,retracement_pct,volume_ratio,extension_pct,risk_pct,is_lre,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_yoy_q3_pct,eps_yoy_q4_pct,eps_qoq_q1_pct,eps_qoq_q2_pct,eps_qoq_q3_pct,eps_qoq_q4_pct,eps_min_yoy_pct,eps_full_history_available,days_to_earnings,revenue_yoy_q1_pct,revenue_yoy_q2_pct,revenue_yoy_q3_pct,revenue_yoy_q4_pct,revenue_qoq_q1_pct,revenue_qoq_q2_pct,revenue_qoq_q3_pct,revenue_qoq_q4_pct,revenue_min_yoy_pct,revenue_full_history_available,passes_growth
OPTT,bull_flag,2.5999999046325684,1.75,1.9299999475479126,,,,False,,,,,,,1505.8823472694542,7.0,3.0,38.28125048657966,0.04837816159836194,-25.76923006385033,9.326422406208074,False,,,,,-211.30434782608694,,,,,False,87.84283694357639,-38.01652892561983,22.672064777327925,162.5,25.581395348837212,-0.990099009900991,-57.56302521008403,-5.555555555555558,56.19834710743801,-38.01652892561983,True,False
SWVL,bull_flag,5.989999771118164,3.9000000953674316,4.429999828338623,,,,False,,,,,,,277.39726609015094,15.0,3.0,39.75308784423226,0.07426913583810857,-26.043405715996098,11.963877054369018,False,,,,,,,,,,False,,,,,,,,,,,False,False
RFAI,bull_flag,54.70000076293945,25.0,41.119998931884766,,,,False,,,,,,,220.00000000000003,15.0,6.0,31.818181818181817,0.10893173592911519,-24.82632841251341,39.202333051096446,False,,,,,,,,,,False,,,,,,,,,,,False,False
IGR,bull_flag,12.920000076293945,12.229999542236328,12.380000114440918,,,,False,,,,,,,191.1669081152696,14.0,6.0,8.357057850104159,0.8145165724159598,-4.179566243531512,1.2116362747817622,False,,,,,,,,,,False,,,,,,,,,,,False,False
INDP,bull_flag,3.9800000190734863,2.9000000953674316,3.930000066757202,,,,False,,,,,,,186.75799295543882,13.0,3.0,11.735941348798557,0.839427075280123,-1.2562802029313505,26.208650226300477,False,,,-101.90114068441063,,,,,,-101.90114068441063,False,,,,,,,,,,,False,False
MRNA,bull_flag,161.95989990234375,130.3800048828125,158.07000732421875,,,,False,,,,,,,177.86855173808823,14.0,15.0,20.125259045013266,0.42374170357044516,-2.40176276996372,17.517556246208713,False,,,,-1800.0,,,,,-1800.0,False,48.50958432987269,2.1126760563380254,260.18518518518516,-29.81366459627329,-45.43501611170784,-62.724935732647815,-42.62536873156342,-33.26771653543307,615.4929577464789,-45.43501611170784,True,False
CAPR,bull_flag,11.0,8.180000305175781,9.420000076293945,,,,False,,,,,,,161.29871867040458,13.0,14.0,30.27375134518362,0.2401264813688588,-14.363635670055041,13.163479416934463,False,,,,,,,,,,False,53.843386584097225,-7.921690517003965,-63.4382475774409,1.3777014586210834,64.29114312270147,392.14278829275366,-43.0523150556549,-19.06383632603793,-59.40733891022807,-63.4382475774409,True,False
OABI,bull_flag,5.429999828338623,3.890000104904175,4.440000057220459,,,,False,,,,,,,136.94581332858533,15.0,15.0,33.09351968861504,0.584748286561898,-18.232040560138785,12.3873861537875,False,,,,,,,,,,False,47.84285620946759,244.23915832691816,247.30380356283098,-22.473158089596446,-46.332694151486095,-7.014625355236714,72.24212034383955,274.09557838320677,-42.54554785732615,-46.332694151486095,True,False
RCEL,bull_flag,11.390000343322754,9.600000381469727,11.220000267028809,,,,False,,,,,,,136.91276621142404,15.0,15.0,16.176465890445424,0.2902507462420983,-1.49253793827676,14.438501310197182,False,,,,,,,,,,False,48.84272935018519,17.90299572039944,4.0327421555252485,-4.288381287063469,-12.875116015262456,12.72031053294167,9.368366703000408,3.1603243179262552,-7.2917809722374605,-12.875116015262456,True,False
ABCL,bull_flag,13.180000305175781,10.319999694824219,12.729999542236328,,,,False,,,,,,,106.7567502259338,15.0,15.0,30.37974950958201,0.352917365899703,-3.4142697459782148,18.931656984087645,False,,,,,,,,,,False,48.843526877337965,-76.29360805431983,96.3400236127509,788.373935432759,37.6210235131397,-51.2928442573662,-81.46207696080617,400.88218872138464,-47.58253336455163,-76.29360805431983,True,False
