ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
KXIN,2026-09-17,1.75,54.87,73938635,1770455,41.76,3003328.0,False,False,2025-10-09,343
NUWE,2026-09-17,1.09,32.93,58602244,1625180,36.06,1598771.0,False,False,2026-11-11,55
PAAI,2026-09-17,3.34,271.11,31758930,1048535,30.29,1147229.0,False,False,2026-08-10,38
AEMD,2026-09-17,6.78,374.13,92174162,3238025,28.47,7714140.0,False,False,2026-08-13,35
BCBP,2026-09-17,8.69,5.33,2616934,132510,19.75,1138531.0,False,False,2026-08-03,45
GLOO,2026-09-17,4.91,20.64,4846313,366460,13.22,1356237.0,False,False,2026-06-08,101
GNRC,2026-09-17,207.23,18.34,8020390,980930,8.18,185664389.0,False,False,2026-10-28,41
SDGR,2026-09-17,30.24,26.37,8949590,1239890,7.22,25963846.0,False,False,2026-08-05,43
HPK,2026-09-17,8.34,5.97,2451165,344120,7.12,2834157.0,False,False,2026-08-10,38
ELA,2026-09-17,13.67,6.63,660652,104340,6.33,1448382.0,False,False,2026-08-05,43
RUSHB,2026-09-17,57.0,5.75,571108,114122,5.0,5914689.0,False,False,2026-10-28,41
PS,2026-09-17,43.83,6.88,1557551,363555,4.28,14439773.0,False,False,2026-08-12,36
RGR,2026-09-17,40.14,8.25,460454,125600,3.67,4758740.0,False,False,2026-10-28,41
PSIX,2026-09-17,45.55,13.62,1106626,308015,3.59,11876542.0,False,False,2026-08-06,42
IMMR,2026-09-17,7.52,5.62,1236628,348880,3.54,2620332.0,False,False,2026-09-14,3
MGNI,2026-09-17,25.63,7.78,6835084,1988940,3.44,47480847.0,False,False,2026-08-05,43
BIAF,2026-09-17,8.75,63.55,25187077,7414084,3.4,73263827.0,False,False,2025-11-14,307
SECZ,2026-09-17,8.93,14.93,5770927,1723150,3.35,12278448.0,False,False,2026-08-12,36
INIO,2026-09-17,20.96,12.03,13123824,3945345,3.33,81815915.0,False,False,2026-10-27,40
ABSI,2026-09-17,9.27,15.3,8656822,2828765,3.06,25184982.0,False,False,2026-08-11,37
