ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
ACVA,2026-09-11,10.41,44.18,115502900,4158660,27.77,30564083.0,False,False,2026-08-10,32.0
TNON,2026-09-11,5.93,11.89,108576300,10646725,10.2,69849497.0,False,False,2026-08-13,29.0
FTFT,2026-09-11,2.88,40.49,53280800,5688152,9.37,11934006.0,False,False,2011-08-15,5506.0
SXTC,2026-09-11,2.56,32.64,14162900,1758625,8.05,7977878.0,False,,,
LBGJ,2026-09-11,2.25,15.98,6840200,901795,7.59,2757089.0,False,,,
FGL,2026-09-11,5.45,6.86,2119500,300395,7.06,3708894.0,False,,,
FEIM,2026-09-11,88.38,42.41,1552200,221350,7.01,14271698.0,False,True,2026-09-10,1.0
AEYE,2026-09-11,7.93,5.73,779100,181280,4.3,1372762.0,False,False,2026-08-13,29.0
JILL,2026-09-11,24.08,5.75,509300,124520,4.09,2595359.0,False,False,2026-09-09,2.0
ATEC,2026-09-11,10.58,19.68,6452300,1614435,4.0,15088581.0,False,False,2026-08-04,38.0
SPSC,2026-09-11,82.68,7.06,1807100,463840,3.9,37438226.0,False,False,2026-07-30,43.0
TEN,2026-09-11,47.9,7.13,1060400,275110,3.85,11771638.0,False,True,2026-09-10,1.0
IBEX,2026-09-11,39.8,6.82,366200,107895,3.39,4004351.0,False,True,2026-09-10,1.0
