ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
ZTG,2026-09-16,1.18,75.33,107076775,3618320,29.59,2966840.0,False,,,
TGL,2026-09-16,3.51,17.0,4636714,647715,7.16,1796255.0,False,False,2026-09-28,12.0
PS,2026-09-16,41.01,5.15,1903932,279890,6.8,10995989.0,False,False,2026-08-12,35.0
BBNX,2026-09-16,22.18,15.34,7191532,1067910,6.73,20229591.0,False,False,2026-10-27,41.0
WAFU,2026-09-16,1.48,6.47,7835025,1258095,6.23,1749169.0,False,,,
KXIN,2026-09-16,1.13,9.71,5284774,1076405,4.91,2297111.0,False,False,2025-10-09,342.0
JDZG,2026-09-16,4.25,14.25,1320414,278245,4.75,1056214.0,False,,,
PNTG,2026-09-16,42.48,6.28,1135196,239050,4.75,9245286.0,False,False,2026-08-05,42.0
RTB,2026-09-16,8.89,22.45,341087,94125,3.62,1019680.0,False,,,
AMRX,2026-09-16,18.08,8.59,5123472,1575155,3.25,27747254.0,False,False,2026-10-29,43.0
AXON,2026-09-16,468.42,5.96,2624639,854110,3.07,457033229.0,False,False,2026-08-05,42.0
ODTX,2026-09-16,23.12,5.14,591190,194270,3.04,4867232.0,False,False,2026-08-06,41.0
