ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
GDC,2026-09-22,1.6,9.59,17378191,857905,20.26,1255529.0,False,,,
VKTX,2026-09-22,40.85,35.67,40950705,2134500,19.19,68041521.0,False,False,2026-10-28,36.0
PFSA,2026-09-22,2.17,11.86,3851824,401970,9.58,1246368.0,False,,,
GRML,2026-09-22,14.15,50.21,99973024,11914205,8.39,107705395.0,False,,,
MAZE,2026-09-22,28.38,26.75,3566261,528100,6.75,13353828.0,False,False,2026-08-11,42.0
FIRY,2026-09-22,12.6,17.76,767211,114720,6.69,1144410.0,False,False,2026-08-13,40.0
INOD,2026-09-22,69.97,14.61,5332159,1008600,5.29,56961496.0,False,False,2026-11-05,44.0
ONON,2026-09-22,29.39,7.58,42509708,8531910,4.98,236615509.0,False,False,2026-08-11,42.0
BFLY,2026-09-22,9.93,21.99,19698328,4480530,4.4,35494972.0,False,False,2026-10-30,38.0
CTKB,2026-09-22,5.71,8.14,3778823,1036905,3.64,5018354.0,False,False,2026-11-04,43.0
CUE,2026-09-22,30.9,9.3,1183787,335440,3.53,9835411.0,False,False,2026-08-14,39.0
SGRY,2026-09-22,15.8,15.67,8108997,2334530,3.47,32526472.0,False,False,2026-08-10,43.0
NCT,2026-09-22,6.0,5.26,2626782,766356,3.43,13419180.0,False,False,2026-10-29,37.0
RSKD,2026-09-22,7.01,10.39,5226150,1533420,3.41,9726419.0,False,False,2026-08-12,41.0
SRAD,2026-09-22,13.6,8.45,6419786,1949575,3.29,25002109.0,False,False,2026-11-04,43.0
GRAB,2026-09-22,3.17,8.93,180764656,55584040,3.25,173742542.0,False,False,2026-11-03,42.0
HSDT,2026-09-22,3.27,5.14,1615445,504760,3.2,1223012.0,False,False,2026-08-14,39.0
