ticker,pattern_type,entry_price,stop_price,last_close,ribbon_width_pct,squeeze_days_ago,expanding,breakout,n_contractions,contraction_pcts,first_contraction_pct,final_contraction_pct,volume_dryup_ratio,base_len,pole_gain_pct,pole_len,flag_len,retracement_pct,volume_ratio,extension_pct,risk_pct,is_lre,eps_min_yoy_pct,eps_full_history_available,days_to_earnings,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_yoy_q3_pct,eps_yoy_q4_pct,eps_qoq_q1_pct,eps_qoq_q2_pct,eps_qoq_q3_pct,eps_qoq_q4_pct,revenue_yoy_q1_pct,revenue_yoy_q2_pct,revenue_yoy_q3_pct,revenue_yoy_q4_pct,revenue_qoq_q1_pct,revenue_qoq_q2_pct,revenue_qoq_q3_pct,revenue_qoq_q4_pct,revenue_min_yoy_pct,revenue_full_history_available,passes_growth
BURU,bull_flag,1.25,0.8799999952316284,1.0399999618530273,,,,False,,,,,,,3548.6486660641767,10.0,6.0,35.7958888230398,0.5700196617586187,-16.800003051757812,15.384612739438744,False,,False,,,,,,,,,,,,-100.0,,28.77093738654315,,,,-100.0,False,False
OPTT,bull_flag,2.5999999046325684,1.75,2.119999885559082,,,,False,,,,,,,1505.8823472694542,7.0,6.0,38.28125048657966,0.04115939979243873,-18.461539872299337,17.452825732653583,False,,False,82.84062084689815,,,,,-211.30434782608694,,,,-38.01652892561983,22.672064777327925,162.5,25.581395348837212,-0.990099009900991,-57.56302521008403,-5.555555555555558,56.19834710743801,-38.01652892561983,True,False
SWVL,bull_flag,5.989999771118164,3.880000114440918,4.050000190734863,,,,False,,,,,,,277.39726609015094,15.0,6.0,40.24691451051903,0.05058717767368046,-32.38730641923143,4.197532550315737,False,,False,,,,,,,,,,,,,,,,,,,False,False
INDP,bull_flag,4.090000152587891,2.9000000953674316,3.990000009536743,,,,False,,,,,,,247.78761799477945,11.0,3.0,36.78571232423495,0.49259697961436855,-2.4449911814275547,27.31829352290817,False,-101.90114068441063,False,,,,-101.90114068441063,,,,,,,,,,,,,,,False,False
RFAI,bull_flag,54.70000076293945,25.0,36.0,,,,False,,,,,,,220.00000000000003,15.0,9.0,31.818181818181817,0.0841707225758143,-34.18647258156739,30.555555555555557,False,,False,,,,,,,,,,,,,,,,,,,False,False
IGR,bull_flag,12.73169280374991,12.051749012022691,12.25,,,,False,,,,,,,191.1669203969298,14.0,9.0,8.357058213278583,0.7616700701644151,-3.783415223528134,1.6183754120596625,False,,False,,,,,,,,,,,,,,,,,,,False,False
CAPR,bull_flag,11.0,8.180000305175781,9.34000015258789,,,,False,,,,,,,157.40259981533399,15.0,15.0,28.547847501180485,0.23681287891833977,-15.090907703746447,12.41969837752841,False,,False,48.84132499400463,,,,,,,,,-7.921690517003965,-63.4382475774409,1.3777014586210834,64.29114312270147,392.14278829275366,-43.0523150556549,-19.06383632603793,-59.40733891022807,-63.4382475774409,True,False
MRNA,bull_flag,187.1999969482422,130.3800048828125,182.55999755859375,,,,False,,,,,,,154.69705307864396,15.0,14.0,25.496262777504963,0.3686562238260583,-2.4786321929969493,28.582380244080447,False,-1800.0,False,43.50743475517361,,,,-1800.0,,,,,2.1126760563380254,260.18518518518516,-29.81366459627329,-45.43501611170784,-62.724935732647815,-42.62536873156342,-33.26771653543307,615.4929577464789,-45.43501611170784,True,False
QMCO,bull_flag,26.5,21.719999313354492,25.649999618530273,,,,False,,,,,,,106.5365065807982,15.0,15.0,20.796817296293078,0.36864346965386696,-3.2075486093197227,15.321638844534874,False,,False,47.840557938541664,,,,,,,,,25.692996920013698,27.310121933303954,8.59297653019626,-12.709127856804836,3.601559094289297,4.569222106025261,18.92848600813202,-2.4437669165914833,-12.709127856804836,True,False
VNCE,bull_flag,11.25,8.670000076293945,10.140000343322754,,,,False,,,,,,,95.22861402024425,5.0,3.0,24.008345348005054,0.5152036879145652,-9.866663614908854,14.497043562693879,False,-38.235294117647065,False,76.5069319082176,-13.978494623655912,,,-38.235294117647065,,,-233.33333333333334,-77.41935483870968,11.66969320462583,10.532856920925893,4.699186991869908,6.192460267957389,27.723900991645188,-23.501021419952927,-1.6669407701524808,16.22724976447618,4.699186991869908,True,False
PURR,bull_flag,14.760000228881836,10.545000076293945,13.949999809265137,,,,False,,,,,,,83.3832382454819,11.0,15.0,30.610410613281907,0.8447127173383745,-5.487807635881466,24.40860057008532,False,,False,54.50722928980324,,,,,1306192.0792079207,,,,,,,,425.2,,,,,False,False
HTFL,bull_flag,52.22100067138672,45.40999984741211,50.16999816894531,,,,False,,,,,,,71.68653742663125,15.0,15.0,23.669200460990957,0.8285117310689708,-3.92754347115605,9.487738679009142,False,,False,49.84100307704861,,,,,,-106.98689956331877,,,47.57277081798084,41.34390538906061,49.17410578733224,49.01783989180137,21.859014585353798,7.038612632050323,6.165182816146597,6.567796610169485,41.34390538906061,True,False
IRD,bull_flag,6.579999923706055,5.039999961853027,5.159999847412109,,,,False,,,,,,,67.67956805401695,7.0,8.0,42.04081998075914,0.2853349301124916,-21.58054852216713,2.3255792462719835,False,,False,49.50759080710648,,,,,,,,,-73.8029146426093,-50.64073226544623,-10.1580660158066,-20.37755365916731,-64.99768196569309,-44.191461836998705,25.527768756089642,6.835530881332419,-73.8029146426093,True,False
ARX,bull_flag,19.899999618530273,19.510000228881836,19.790000915527344,,,,False,,,,,,,63.87042861086325,15.0,15.0,2.860849484513581,0.2240469410115699,-0.5527573121182486,1.4148593920772268,False,-1525.0000000000007,False,49.508153124386574,800.0,-166.66666666666669,-1525.0000000000007,,,,,-17575.0,62.89365586490187,53.53932584269663,61.6135328562134,105.53420445810913,30.5890962312477,10.024154589371982,-7.10545998504114,22.0447284345048,53.53932584269663,True,False
AMLX,bull_flag,35.310001373291016,31.3700008392334,33.0,,,,False,,,,,,,60.94260936681724,12.0,13.0,23.88974357701146,0.29917413521289193,-6.542059709570935,4.939391396262429,False,,False,43.508190140324075,,,,,,,,,,-100.0,,-100.0,,,,,-100.0,False,False
AOUT,bull_flag,17.0,15.8100004196167,16.68000030517578,,,,False,,,,,,,60.05025624127136,10.0,3.0,1.924682238930276,0.30237108950246344,-1.8823511460248161,5.215826556604572,False,-3300.0,False,78.84148478834491,,,-3300.0,-33.33333333333333,,,-300.0,,25.425897245976703,-24.027315876142197,-3.297154089394072,-5.035529286757868,-20.83554686669925,-16.821620475113118,-1.0891798807671438,92.57625749107805,-24.027315876142197,True,False
ETON,bull_flag,62.38999938964844,53.599998474121094,57.09000015258789,,,,False,,,,,,,51.86274569385652,14.0,13.0,39.50850978561798,0.555762887875337,-8.49494997420998,6.113157591765385,False,150.0,False,50.8411347341088,,150.0,,,599.9999999999999,,,,98.58939137785292,40.411989353084145,82.71657937666352,117.5416505230531,54.90398087859556,14.026596494525624,-5.245113317600958,18.65490278951818,40.411989353084145,True,False
AVAH,bull_flag,14.710000038146973,13.020000457763672,13.220000267028809,,,,False,,,,,,,50.39106508374487,15.0,14.0,9.75608776171592,0.7635484382160935,-10.129162251897997,1.5128578307516678,False,38.46153846153846,False,43.50814251549768,38.46153846153846,533.3333333333334,453.3333333333334,,-5.263157894736848,-77.10843373493977,1283.3333333333335,-53.846153846153854,13.727349364688157,15.859655522652826,27.43136772128525,22.18347697451786,3.48317294706868,-2.1985569375679304,6.517971129140654,5.493823286456001,13.727349364688157,True,False
TITN,bull_flag,26.440000534057617,22.520000457763672,24.170000076293945,,,,False,,,,,,,48.135582955760945,13.0,11.0,43.42722400358367,0.6134464505737315,-8.58547810859407,6.826643000918321,False,-28.57142857142857,False,62.50700168520833,,,,-28.57142857142857,,,-3279.9999999999995,,-9.158056168630335,-12.1067880794702,-15.539246842763921,-5.194579773588459,-4.976635827107034,-18.61132534062493,-0.41504398690478395,17.95009754294268,-15.539246842763921,True,False
ANF,bull_flag,150.0,133.89999389648438,136.2100067138672,,,,False,,,,,,,47.10776346632819,15.0,9.0,37.33060826634637,0.49584289758258415,-9.193328857421875,1.6959200525078866,False,-7.547169811320764,True,63.50818866453704,43.29896907216495,-7.547169811320764,1.4084507042253946,-5.600000000000005,183.6734693877551,-59.16666666666668,52.54237288135597,-18.900343642611695,4.809773614880508,1.5045871225204177,5.355800966233559,6.753953378341482,13.724646958532837,-33.29622314501959,29.37993319484682,6.789815979347313,1.5045871225204177,True,False
RCMT,bull_flag,42.5099983215332,38.84000015258789,40.79999923706055,,,,False,,,,,,,46.98456345057285,14.0,14.0,22.985063749580455,0.7660763304521169,-4.022580926818023,4.803919414518757,False,-14.28571428571428,True,42.84047539032407,36.00000000000001,-3.703703703703709,110.52631578947363,-14.28571428571428,30.76923076923077,-35.0,166.66666666666669,-40.0,20.021492720620216,-1.698767653569777,12.434990638651966,16.439990060465504,12.979599701341549,-3.9756695499329253,23.0292079841796,-10.077271447944113,-1.698767653569777,True,False
CNH,bull_flag,14.359999656677246,13.279999732971191,13.670000076293945,,,,False,,,,,,,43.569292142588665,13.0,11.0,25.62928867023971,0.619073610985467,-4.805011120334243,2.852965187608736,False,-90.0,True,47.507954940081014,-35.29411764705883,-90.0,-42.8571428571429,-75.0,1000.0,-87.5,33.33333333333328,-64.70588235294117,3.0340711265854248,-0.06305170239596647,7.7984984257689405,-7.380535401551159,30.69400630914827,-28.780049427095033,20.232306861156136,-7.933349912956977,-7.380535401551159,True,False
