ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
PFSA,2026-09-24,3.03,47.8,79266600,609895,129.97,1448990.0,False,,,
SRZN,2026-09-24,33.68,108.42,11527000,182765,63.07,3685349.0,False,False,2026-08-06,49.0
YMAT,2026-09-24,1.43,11.72,33598400,2124285,15.82,4562846.0,False,,,
KRSA,2026-09-24,37.19,15.14,411300,37662,10.92,1153922.0,False,False,2026-03-31,177.0
SKYQ,2026-09-24,2.91,14.57,28283400,2734670,10.34,8387226.0,False,,,
GLND,2026-09-24,5.35,83.85,166243900,16468360,10.09,42658370.0,False,,,
YDES,2026-09-24,4.77,47.68,3172000,507075,6.26,1851207.0,False,,,
QMCO,2026-09-24,29.49,13.55,5210300,1157850,4.5,28316698.0,False,False,2026-08-10,45.0
WETO,2026-09-24,1.9,31.03,28575400,7521650,3.8,27682352.0,False,,,
TSSI,2026-09-24,10.19,9.81,3108800,827920,3.75,7058142.0,False,False,2026-08-13,42.0
RSKD,2026-09-24,7.91,10.78,7160700,1998725,3.58,13137499.0,False,False,2026-08-12,43.0
WRBY,2026-09-24,26.27,12.51,8428200,2686370,3.14,64574620.0,False,False,2026-11-05,42.0
GRAL,2026-09-24,125.21,15.38,3442900,1107730,3.11,97149818.0,False,False,2026-11-11,48.0
DNA,2026-09-24,10.25,19.46,4022300,1300850,3.09,9882245.0,False,False,2026-11-05,42.0
PRGO,2026-09-24,14.68,6.07,7734100,2567925,3.01,36191471.0,False,False,2026-11-04,41.0
